path/symbol	source excerpt	semantic category	producer	consumer	proposed action	compatibility rationale	affected proof	source SHA-256
README.md:6	[Owner decision](docs/courtyard-identity-decisions.md): Citadel is the jurisdiction,	enclosing Citadel	Author/source at Git blob b5d305b9a36b448469c390a591939849bffbfc94	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	877cc8be53e9fee28e63582539a2ad644b12cbcda280cf5f09aee63d7b312e47
README.md:7	Courtyard receives and forms missions, Courtthane is its Legate; Castellan oversight is deferred.	proposed future oversight / prior interview allocation	Author/source at Git blob b5d305b9a36b448469c390a591939849bffbfc94	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	877cc8be53e9fee28e63582539a2ad644b12cbcda280cf5f09aee63d7b312e47
README.md:8	This selection prepares the local implementation. [FC0–FC3 source is integrated with independent review pending](docs/citadel-formation-claim-custody-report.md);	persisted/signed/wire identity	Author/source at Git blob b5d305b9a36b448469c390a591939849bffbfc94	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	877cc8be53e9fee28e63582539a2ad644b12cbcda280cf5f09aee63d7b312e47
config/services.yaml:303	App\Imperium\Runtime\Citadel\LegateCognitionGateway:	enclosing Citadel	Author/source at Git blob 6d20434882acd67b555f91d1f238e1a825960a12	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	ce13733ba4f5581517bcb42b0c752837616eb270981f3c95d4a89674660fe824
config/services.yaml:304	alias: App\Imperium\Runtime\Citadel\SymfonyAiLegateCognitionGateway	enclosing Citadel	Author/source at Git blob 6d20434882acd67b555f91d1f238e1a825960a12	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	ce13733ba4f5581517bcb42b0c752837616eb270981f3c95d4a89674660fe824
config/services.yaml:306	App\Imperium\Runtime\Citadel\DelegateMissionCognitionGateway:	enclosing Citadel	Author/source at Git blob 6d20434882acd67b555f91d1f238e1a825960a12	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	ce13733ba4f5581517bcb42b0c752837616eb270981f3c95d4a89674660fe824
config/services.yaml:307	alias: App\Imperium\Runtime\Citadel\SymfonyAiDelegateMissionCognitionGateway	enclosing Citadel	Author/source at Git blob 6d20434882acd67b555f91d1f238e1a825960a12	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	ce13733ba4f5581517bcb42b0c752837616eb270981f3c95d4a89674660fe824
config/services.yaml:309	App\Imperium\Runtime\Citadel\DelegateProviderInvoker:	enclosing Citadel	Author/source at Git blob 6d20434882acd67b555f91d1f238e1a825960a12	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	ce13733ba4f5581517bcb42b0c752837616eb270981f3c95d4a89674660fe824
config/services.yaml:310	alias: App\Imperium\Runtime\Citadel\SymfonyAiBrokeredDelegateProviderInvoker	enclosing Citadel	Author/source at Git blob 6d20434882acd67b555f91d1f238e1a825960a12	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	ce13733ba4f5581517bcb42b0c752837616eb270981f3c95d4a89674660fe824
config/services.yaml:312	App\Imperium\Runtime\Citadel\DeepSeekDelegatePlatformAdapter:	enclosing Citadel	Author/source at Git blob 6d20434882acd67b555f91d1f238e1a825960a12	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	ce13733ba4f5581517bcb42b0c752837616eb270981f3c95d4a89674660fe824
config/services.yaml:313	alias: App\Imperium\Runtime\Citadel\DeepSeekSymfonyPlatformAdapter	enclosing Citadel	Author/source at Git blob 6d20434882acd67b555f91d1f238e1a825960a12	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	ce13733ba4f5581517bcb42b0c752837616eb270981f3c95d4a89674660fe824
contracts/bootstrap-manifest.md:24	The manifest must contain no Rector, Castellan, or Secretariat bootstrap constituent. Unknown primordial keys fail validation.	proposed future oversight / prior interview allocation	Author/source at Git blob 5db8572a71385b860cb05b1185c3b56f0d5fd370	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	3a8c0b5f9cbb16978c532924c03826665a6bb7d468ec26a8da8a882620e4fd28
contracts/brokered-delegate-provider-invocation.md:9	1. Citadel validates the exact activation, model binding, access attestation, commission, lease, and turn authority.	enclosing Citadel	Author/source at Git blob 5d93918d057d0331b19d617ef6fb6a26e630c90f	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	672b0dbb7e6ad29403c2eda112cc73328702f51ba46aba8a426f62f74c31b3fd
contracts/citadel-formation-claim-custody.md:3	This adds an offline-testable, default-dormant consumer of genuine Citadel formation authority. It does not select a provider, amend B1, enroll native or formation trust, confer ProtectedMission competence, or authorize commissioning. Owner disposition remains DEFER_ENROLLMENT. Existing [formation semantics](citadel-formation-runtime.md) and CF01/CF02/IR01 remain controlling.	persisted/signed/wire identity	Author/source at Git blob e8565ed85d056bb2cb347400505524c8a260b1d2	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	8d713fe45d476d47938a1b7e2b39726c312542b821c125edbda123b90946dc20
contracts/citadel-formation-claim-custody.md:11	| Institutional actor and parent instance | `Citadel/Formation/FormationInstitution`; actual root installation and current occupancy; public-only delegated evidence | `FormationPersonnel` revalidates candidate lineage and current Castellan/Locksmith; no imported claim establishes an actor |	proposed future oversight / prior interview allocation	Author/source at Git blob e8565ed85d056bb2cb347400505524c8a260b1d2	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	8d713fe45d476d47938a1b7e2b39726c312542b821c125edbda123b90946dc20
contracts/citadel-formation-claim-custody.md:40	`PreparedFormationTransport` causes `FormationCognition` to retain `imperium.citadel-session-call-claim/v2`, adding `prepared_operation`. The authority/lease scope adds its digest. The operation schema `imperium.formation-prepared-operation/v1` binds canonical request bytes and digest; exact wire bytes (base64) and SHA-256; provider/model/destination; authority-source and pricing digests; approved transport tuple; maximum/per-call/total; and session expiry. Exact claim expiry is separately retained and bounded by both session expiry and the existing local duration calculation. Validation rebuilds the operation, bounds byte size, validates integer fields/order and compares its complete digest	persisted/signed/wire identity	Author/source at Git blob e8565ed85d056bb2cb347400505524c8a260b1d2	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	8d713fe45d476d47938a1b7e2b39726c312542b821c125edbda123b90946dc20
